Iteration,Time,MaxReturn,MeanKLBefore,LossBefore,ProcessExecTime,Perplexity,AveragePolicyStd,EnvExecTime,ExplainedVariance,MinReturn,AverageDiscountedReturn,StdReturn,MeanKL,ItrTime,dLoss,AverageReturn,Entropy,NumTrajs,LossAfter,PolicyExecTime
65,304.1920311450958,-933.4905812864592,0.0,-1.523494752575516e-08,0.046205997467041016,9931.42,0.9019196,4.10672664642334,0.9521057432976242,-1734.6271896262986,-602.4207910981825,185.61733940543246,0.006557397544384003,4.674407958984375,0.025333910846709884,-1384.9783782460913,9.203459,50,-0.02533392608165741,0.09999680519104004
66,309.32333064079285,-1084.389518975126,0.0,1.5354157056890472e-08,0.04870462417602539,9926.308,0.9018047,4.5219972133636475,0.9638896101386536,-1851.580743474199,-610.9600289776382,190.33137480540415,0.006487843114882708,5.128453969955444,0.02720059499740657,-1407.639130884319,9.202944,50,-0.02720057964324951,0.1184995174407959
67,314.3695652484894,-995.0523279782077,0.0,1.196861276753225e-08,0.04830789566040039,9787.1875,0.90000975,4.454688787460327,0.9543370905471108,-1769.4031075933376,-605.5895158096473,211.8073459398489,0.009958656504750252,5.043262004852295,0.03325358484983454,-1388.4756553306665,9.188829,50,-0.03325357288122177,0.11096596717834473
68,319.1720666885376,-878.140442386087,0.0,7.2479249269008506e-09,0.04748082160949707,9678.903,0.8985548,4.20888614654541,0.9399333985648142,-1799.988609297304,-632.8780966942873,186.9255190887488,0.009952228516340256,4.797466278076172,0.030066346547007683,-1455.0165667450253,9.177704,50,-0.030066339299082756,0.1113438606262207
69,324.17184257507324,-835.6024131331831,0.0,-2.086162531611535e-08,0.04908347129821777,9692.629,0.8986882,4.416496753692627,0.947122364462123,-1849.9025674402683,-622.2165628414972,204.05560322142347,0.009943502955138683,4.997162580490112,0.033278623223305104,-1429.614571779079,9.179121,50,-0.03327864408493042,0.11036396026611328
70,329.4251985549927,-985.5029221561608,0.0,3.933906533859499e-09,0.04898381233215332,9600.047,0.8974175,4.643077850341797,0.961179361370478,-1980.6676062999613,-615.8753617862361,200.24067500550365,0.006487621925771236,5.2483885288238525,0.025934107810258844,-1419.1681479360352,9.169523,50,-0.02593410387635231,0.11619782447814941
71,334.28087615966797,-1018.4954095898631,0.0,2.8562546106059017e-08,0.0980689525604248,9585.4,0.8972521,4.2072834968566895,0.9692253515483883,-1853.2885044122017,-630.6202466463501,187.5275437895657,0.0064559206366539,4.8504509925842285,0.026985224959254595,-1453.3005103426337,9.167996,50,-0.02698519639670849,0.0966038703918457
72,339.5090925693512,-941.6635307725803,0.0,-3.590583830259675e-08,0.05463981628417969,9540.43,0.8966845,4.3708391189575195,0.9599497843234175,-1768.5357260491178,-619.6133564787278,173.90660046756767,0.00992141105234623,5.225208044052124,0.033381958907842346,-1428.2119910141614,9.163294,50,-0.03338199481368065,0.10693240165710449
73,344.58381056785583,-926.6831371824647,0.0,-4.1103362491412554e-08,0.04758858680725098,9529.118,0.89655614,4.203899145126343,0.9509808304349271,-1873.2349873427336,-614.5794477025768,186.47105879743623,0.006533212494105101,5.070645570755005,0.026288514831662724,-1414.6585327150021,9.162107,50,-0.026288555935025215,0.09672737121582031
74,349.9972732067108,-1115.3955675856002,0.0,2.3746490995790737e-08,0.06161046028137207,9446.382,0.8954409,4.3727867603302,0.970357221542801,-1822.0504808752873,-637.3855269415436,188.83184408729858,0.006495810113847256,5.407402276992798,0.026190917471051733,-1471.6227752735388,9.153387,50,-0.026190893724560738,0.10554838180541992
75,354.5817620754242,-952.8439352092996,0.0,1.5497207961345794e-09,0.045635223388671875,9274.519,0.89308697,3.9893078804016113,0.9440332898391796,-1837.0350443357659,-623.5894671963208,224.7009392781288,0.006401742342859507,4.579054594039917,0.026196092054247888,-1432.2046772964209,9.135026,50,-0.026196090504527092,0.09321904182434082
